Score,Source IP,Destination IP,Connections,Avg Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.823,192.168.23.89,42.192.234.75,47,145,291,1916,78,88,8,43,0,0,2,0
0.823,192.168.23.89,49.235.41.58,48,149,111,2164,95,88,8,39,0,0,2,0
0.823,49.235.41.58,192.168.23.89,56,137,290,1905,95,60,8,40,0,0,2,0
0.823,192.168.23.89,152.32.133.119,28,134,15,1300,210,88,7,27,0,0,2,0
0.823,111.229.161.199,192.168.23.89,50,139,487,1285,128,60,7,45,0,0,2,0
0.823,192.168.23.89,180.76.165.92,49,154,230,664,81,88,7,28,0,0,2,0
0.823,42.192.234.75,192.168.23.89,53,137,347,1337,79,60,9,47,0,0,2,0
0.823,192.168.23.89,193.77.186.52,47,116,187,1324,147,88,8,46,0,0,2,0
0.823,192.168.23.89,111.229.161.199,47,91,138,88,129,88,7,45,0,0,2,0
0.823,144.7.116.1,192.168.23.89,50,88,154,1285,61,60,10,47,0,0,2,0
0.823,192.168.23.89,180.76.235.75,37,207,133,1544,136,88,7,22,0,0,2,0
0.823,192.168.23.89,83.48.101.184,47,131,142,2032,138,88,8,46,0,0,2,0
0.823,68.183.169.251,192.168.23.89,50,137,621,1285,137,60,9,47,0,0,2,0
0.823,192.168.23.89,200.195.136.12,47,103,330,720,133,88,7,46,0,0,2,0
0.823,111.231.71.235,192.168.23.89,56,114,398,1285,104,60,7,47,0,0,2,0
0.823,192.168.23.89,115.159.157.154,47,188,210,2072,96,88,7,35,0,0,2,0
0.823,5.180.97.247,192.168.23.89,50,137,1164,1285,173,60,9,47,0,0,2,0
0.823,132.148.165.94,192.168.23.89,55,111,151,1717,32,52,12,48,0,0,2,0
0.823,119.45.120.121,192.168.23.89,52,125,166,1493,72,60,6,40,0,0,2,0
0.823,192.168.23.89,42.192.234.33,41,169,67,1948,64,88,6,30,0,0,2,0
0.823,192.168.23.89,211.219.29.107,52,97,16,472,130,88,9,51,0,0,2,0
0.823,192.168.23.89,118.212.146.30,46,130,114,1952,84,88,7,45,0,0,2,0
0.823,211.219.29.107,192.168.23.89,55,140,607,1597,130,60,9,51,0,0,2,0
0.823,167.71.196.176,192.168.23.89,50,137,813,1301,115,60,6,47,0,0,2,0
0.823,192.168.23.89,203.195.207.85,47,122,377,1364,170,80,7,44,0,0,2,0
0.822,13.250.106.165,192.168.23.89,28,445,0,400,1,445,9,7,0,0,0,2
0.822,192.168.23.89,200.116.188.62,86,331,119,2084,106,352,14,47,0,0,2,0
0.822,13.78.11.223,192.168.23.89,35,552,0,467,1,551,9,7,0,0,0,2
